"Salary" "Neuroticism" "Education" "Sex"
"1" 53719.770420786 2.73838712132524 "Medium" "M"
"2" 79991.2429927685 3.25756812659931 "High" "M"
"3" 47299.5634014599 4.12869724620007 "Medium" "M"
"4" 84621.7191913171 4.74697087629315 "High" "F"
"5" 97821.9043042675 2.81754232175136 "High" "F"
"6" 66072.762406294 2.31732358849498 "Low" "F"
"7" 68091.5306943614 2.48736903422641 "Medium" "M"
"8" 77236.9651461114 2.3381493972744 "High" "M"
"9" 71974.2088118444 3.38033802817966 "Medium" "F"
"10" 71400.4234607182 3.18457041855838 "Medium" "F"
"11" 77738.6472799595 4.0227137285794 "High" "M"
"12" 42650.2774721511 3.43670615899862 "Medium" "F"
"13" 66532.6857358249 4.00549952468164 "Medium" "M"
"14" 72966.1916755553 3.4276959211653 "Medium" "M"
"15" 40537.5754292196 1.87232919857026 "Low" "M"
"16" 88621.5081045405 3.47857583605895 "High" "F"
"17" 39115.7164277902 2.28603299793948 "Low" "F"
"18" 48420.2102749697 2.66318953220505 "Low" "M"
"19" 63129.8839070944 2.36467271016846 "Medium" "M"
"20" 76833.2232215642 3.94849831261052 "High" "M"
"21" 78082.1114552072 4.93153366275692 "High" "M"
"22" 58109.0814567119 3.15975638643839 "Medium" "M"
"23" 56637.6706252594 2.65598678449628 "Medium" "F"
"24" 77466.8861985419 3.8702735912243 "High" "M"
"25" 57076.5396658649 4.20370133301684 "Medium" "F"
"26" 61415.4900856546 3.72173036202333 "Medium" "F"
"27" 74024.9940957293 4.30786909235882 "Medium" "M"
"28" 45163.0017106316 3.37092893681872 "Medium" "M"
"29" 57300.1777223351 3.60241759458057 "Medium" "M"
"30" 50783.9175843937 1.92182252934912 "Low" "F"
"31" 97904.2222996573 4.62260302992956 "High" "M"
"32" 86606.9406597062 3.6736040789211 "High" "M"
"33" 65584.3394282936 2.0395326179737 "Medium" "F"
"34" 76195.7087438705 4.21509270921283 "High" "F"
"35" 39869.6508099733 4.05960861010352 "Low" "M"
"36" 69374.9179476976 3.93588420215492 "Medium" "M"
"37" 74082.9715772471 5.10054321367394 "High" "F"
"38" 42411.4316000958 2.70488039678663 "Low" "M"
"39" 65438.8237004601 2.73269815808463 "Medium" "M"
"40" 50681.252017187 2.22590401187823 "Low" "M"
"41" 55227.2877128235 2.16528914084973 "Low" "F"
"42" 65667.2186595237 2.85208650182942 "Medium" "M"
"43" 57697.7619011215 3.85329671764208 "Medium" "M"
"44" 80701.4237599964 2.23006753180762 "Medium" "F"
"45" 40704.3743050414 3.13811330259748 "Low" "M"
"46" 56638.7659551396 3.13622363841924 "Low" "M"
"47" 45133.6031514434 1.37534952750818 "Low" "F"
"48" 65693.1897273589 3.79808708725303 "Medium" "F"
"49" 35297.646002122 5.32673588753993 "Medium" "M"
"50" 80711.5716440193 3.63016904740166 "High" "F"
"51" 38677.1637429502 3.11979250146918 "Low" "F"
"52" 55035.2645423374 2.58446753570265 "Medium" "M"
"53" 64665.6486678727 5.05398382003959 "High" "M"
"54" 51619.5449328026 2.61180680167243 "Low" "F"
"55" 65653.8462839128 4.66233562477689 "Medium" "F"
"56" 32075.9708062682 1.15310486291954 "Low" "M"
"57" 46734.9973888914 2.35475547955823 "Low" "M"
"58" 69338.2775585789 3.65602616673035 "High" "F"
"59" 68916.5179219894 3.93743850865523 "High" "M"
"60" 68986.1595007031 2.7147532386214 "Medium" "F"
"61" 56024.8540291841 2.54038391006467 "Medium" "M"
"62" 51018.3507296612 2.89256811045214 "Low" "F"
"63" 65047.7197229066 2.32378288332152 "Medium" "F"
"64" 61961.5682503065 4.51902216522487 "Medium" "F"
"65" 78203.7615802477 3.09323494989322 "High" "M"
"66" 47621.7312181689 3.33847451996016 "Medium" "F"
"67" 88600.9177794674 4.56081514156678 "High" "F"
"68" 80793.5909328134 4.60669510380066 "High" "M"
"69" 78420.3657139021 3.84824831519953 "High" "M"
"70" 61448.2019339274 3.32005532331738 "Medium" "M"
"71" 91786.4128323743 4.92640914898988 "High" "M"
"72" 57992.9462981114 2.00888646826115 "Medium" "M"
"73" 55134.4143787631 2.5848620334114 "Medium" "M"
"74" 33713.4367139575 2.67205489857709 "Low" "F"
"75" 44578.9268320789 2.8725037749267 "Medium" "F"
"76" 46384.0619208256 3.56804043412312 "Low" "M"
"77" 60828.4967419682 3.82690768051853 "Medium" "M"
"78" 63027.430968016 3.31379364169307 "Medium" "M"
"79" 65545.6141475452 1.96510190331513 "Medium" "F"
"80" 35941.8598263469 2.42082586576612 "Low" "F"
"81" 33569.6635476727 2.1284392666997 "Low" "M"
"82" 70882.4696854119 3.16482154583051 "Medium" "M"
"83" 48859.4027156284 2.24355874695312 "Medium" "F"
"84" 83370.2920143313 4.53150850292615 "High" "F"
"85" 36359.5602208181 1.51164728360292 "Low" "F"
"86" 64882.953257295 3.05907607150592 "Medium" "F"
"87" 70457.8631200644 4.43143399807416 "High" "F"
